ID,Movie Name,Year,Timing(min),Rating(10),Genre,Language,Votes
tt6555524,Gharer Bou,1990,121 min,-,Drama            ,bengali,-
tt0237095,Chief Sahib,1996,-,5,"Action, Comedy, Romance            ",urdu,37
tt6355584,Revelations,2016,118 min,7.3,Drama            ,tamil,135
tt8698288,Murder,1994,101 min,-,"Crime, Drama, Mystery            ",kannada,-
tt0351120,Ivide Ingane,1984,101 min,-,"Action, Drama            ",malayalam,-
tt3376048,Porter Ponnusami,1979,-,-,-,tamil,-
tt9849992,Amar Premi Sheni Vijanand,1974,-,-,Drama            ,gujarati,-
tt1905076,Tum Hi To Ho...,2011,-,3.9,"Drama, Mystery, Thriller            ",hindi,10
tt0261567,Bilhana,1948,-,-,-,tamil,-
tt1334254,Maharathi,2008,114 min,7.1,"Crime, Drama, Mystery            ",hindi,967
tt13451520,Adyathe Maravi,2019,14 min,-,"Short, Thriller            ",malayalam,-
tt1645083,Hum Ek Hain,1961,-,-,Drama            ,urdu,-
tt0334187,Puzha,1980,-,-,-,malayalam,-
tt13821112,Common Opinion,2016,10 min,-,"Documentary, Short            ",urdu,-
tt0290258,Paandav,1995,132 min,4.1,"Action, Drama            ",hindi,533
tt0322943,Khaidi,1987,-,-,-,telugu,-
tt0029518,Savitri,1937,136 min,-,Fantasy            ,hindi,-
tt1830782,Raam,2009,149 min,6.6,"Comedy, Drama            ",kannada,136
tt4540998,Police Lock Up,1992,-,-,Action            ,hindi,-
tt1954206,The Dirty Picture,2011,145 min,6.6,"Biography, Comedy, Drama            ",tamil,8815
tt0158711,Kurbani,1943,-,6.6,-,hindi,5
tt13595374,Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,-,-,Documentary            ,nepali,-
tt8447590,Lawaris: Karachi's Unknown Dead,2019,-,-,"Documentary, Short            ",urdu,-
tt11203758,Rakhewal,2019,130 min,-,Drama            ,gujarati,-
tt14142936,Kanasu Maratakkide,2021,132 min,-,Drama            ,kannada,-
tt0232291,Pati Patni Aur Tawaif,1990,-,4.3,"Drama, Family            ",hindi,40
-,777 Charlie,,136 min,-,"Adventure, Comedy, Drama            ",tamil,-
tt10305296,Dholo Mara Malak No,1998,-,-,Drama            ,gujarati,-
tt0317973,Pambaram,1979,-,-,-,malayalam,-
-,Raj Shahenshah,,122 min,-,Drama            ,bhojpuri,-
-,Love You Dhaka,,-,-,Drama            ,bengali,-
tt9602804,The Last Color,2019,90 min,7.7,Drama            ,hindi,740
tt0229966,Aji Bas Shukriya,1958,-,6.2,"Comedy, Drama, Musical            ",hindi,10
-,Avatar Purusha,,-,-,Comedy            ,kannada,-
tt0157526,Delhi Durbar,1956,-,-,-,hindi,-
tt0231261,Bhartruhari,1932,-,-,Fantasy            ,hindi,-
tt5310562,Teer,1954,-,-,Drama            ,hindi,-
tt13070794,Eppothum Vendran,2014,138 min,-,Drama            ,tamil,-
-,Rubik's Cube,,134 min,-,Drama            ,marathi,-
tt2742176,Prem Paigham,1989,-,-,Romance            ,hindi,-
tt0117672,Smuggler,1996,-,4.4,"Action, Crime            ",hindi,17
